Pin Label,Pin Number
Rf,1
Pgood,2
GND,3
Vi,4
GND,5
V33Dr,6
PGND,7
PGND,8
PGND,9
BootS,10
Phase,11
Phase,12
Phase,13
Phase,14
Phase,15
NC1,16
PGND,17
PGND,18
PGND,19
GND,20
Bit2_Vout,21
Inv_Enable,22
Bit1_Vout,23
Vout,24
PTAT,25
PVin,26
PVin,27
PVin,28
PVin,29
Vin,30
BGP_EA,31
En,32
