Pin Label,Pin Number
NC,1
NC,2
CNFG,3
RT,4
EXTCOMP,5
FB,6
AGND,7
VDDA,8
VCC,9
PGND,10
LO,11
VIN,12
HO,13
SW,14
CBOOT,15
VCCX,16
PG/SYNCOUT,17
PFM/SYNC,18
EN,19
ISNS+,20
VOUT,21
NC,22
NC,23
NC,24
