Pin Order;Pin Label;Pin Number;Pin Type;Side;Inverted
L1;VCC1;1;IN;2;FALSE
L3;SCL1;3;BI;2;FALSE
L4;SDA1;2;BI;2;FALSE
L4;GND1;4;IN;2;FALSE
R1;VCC2;8;IN;3;FALSE
R2;SCL2;6;BI;3;FALSE
R3;SDA2;7;BI;3;FALSE
R4;GND2;5;IN;3;FALSE
