pin ID,numeric ID,pin name,side,side order
F4,283,HA00_P_CC,right,4
F5,284,HA00_N_CC,right,5
F6,285,GND_91,right,6
F7,286,HA04_P,right,7
F8,287,HA04_N,right,8
F9,288,GND_92,right,9
F10,289,HA08_P,right,10
F11,290,HA08_N,right,11
F12,291,GND_93,right,12
F13,292,HA12_P,right,13
F14,293,HA12_N,right,14
F15,294,GND_94,right,15
F16,295,HA15_P,right,16
F17,296,HA15_N,right,17
F18,297,GND_95,right,18
F19,298,HA19_P,right,19
F20,299,HA19_N,right,20
F21,300,GND_96,right,21
F22,301,HB02_P,right,22
F23,302,HB02_N,right,23
F24,303,GND_97,right,24
F25,304,HB04_P,right,25
F26,305,HB04_N,right,26
F27,306,GND_98,right,27
F28,307,HB08_P,right,28
F29,308,HB08_N,right,29
F30,309,GND_99,right,30
F31,310,HB12_P,right,31
F32,311,HB12_N,right,32
F33,312,GND_100,right,33
F34,313,HB16_P,right,34
F35,314,HB16_N,right,35
F36,315,GND_101,right,36
F37,316,HB20_P,right,37
F38,317,HB20_N,right,38
F39,318,GND_102,right,39
F40,319,VADJ_2,right,40
G1,320,GND_103,right,1
G2,321,CLK1_M2C_P,right,2
G3,322,CLK1_M2C_N,right,3
G4,323,GND_104,right,4
G5,324,GND_105,right,5
G6,325,LA00_P_CC,right,6
G7,326,LA00_N_CC,right,7
G8,327,GND_106,right,8
G9,328,LA03_P,right,9
G10,329,LA03_N,right,10
G11,330,GND_107,right,11
G12,331,LA08_P,right,12
G13,332,LA08_N,right,13
G14,333,GND_108,right,14
G15,334,LA12_P,right,15
G16,335,LA12_N,right,16
G17,336,GND_109,right,17
G18,337,LA16_P,right,18
G19,338,LA16_N,right,19
G20,339,GND_110,right,20
G21,340,LA20_P,right,21
G22,341,LA20_N,right,22
G23,342,GND_111,right,23
G24,343,LA22_P,right,24
G25,344,LA22_N,right,25
G26,345,GND_112,right,26
G27,346,LA25_P,right,27
G28,347,LA25_N,right,28
G29,348,GND_113,right,29
G30,349,LA29_P,right,30
G31,350,LA29_N,right,31
G32,351,GND_114,right,32
G33,352,LA31_P,right,33
G34,353,LA31_N,right,34
G35,354,GND_115,right,35
G36,355,LA33_P,right,36
G37,356,LA33_N,right,37
G38,357,GND_116,right,38
G39,358,VADJ_3,right,39
G40,359,GND_117,right,40
H1,360,VREF_A_M2C,right,1
H2,361,PRSNT_M2C_L,right,2
H3,362,GND_118,right,3
H4,363,CLK0_M2C_P,right,4
H5,364,CLK0_M2C_N,right,5
H6,365,GND_119,right,6
H7,366,LA02_P,right,7
H8,367,LA02_N,right,8
H9,368,GND_120,right,9
H10,369,LA04_P,right,10
H11,370,LA04_N,right,11
H12,371,GND_121,right,12
H13,372,LA07_P,right,13
H14,373,LA07_N,right,14
H15,374,GND_122,right,15
H16,375,LA11_P,right,16
H17,376,LA11_N,right,17
H18,377,GND_123,right,18
H19,378,LA15_P,right,19
H20,379,LA15_N,right,20
H21,380,GND_124,right,21
H22,381,LA19_P,right,22
H23,382,LA19_N,right,23
H24,383,GND_125,right,24
H25,384,LA21_P,right,25
H26,385,LA21_N,right,26
H27,386,GND_126,right,27
H28,387,LA24_P,right,28
H29,388,LA24_N,right,29
H30,389,GND_127,right,30
H31,390,LA28_P,right,31
H32,391,LA28_N,right,32
H33,392,GND_128,right,33
H34,393,LA30_P,right,34
H35,394,LA30_N,right,35
H36,395,GND_129,right,36
H37,396,LA32_P,right,37
H38,397,LA32_N,right,38
H39,398,GND_130,right,39
H40,399,VADJ_4,right,40
J1,400,GND_131,right,1
J2,401,CLK3_BIDIR_P,right,2
J3,402,CLK3_BIDIR_N,right,3
J4,403,GND_132,right,4
J5,404,GND_133,right,5
J6,405,HA03_P,right,6
J7,406,HA03_N,right,7
J8,407,GND_134,right,8
J9,408,HA07_P,right,9
J10,409,HA07_N,right,10
