Object Kind	X1	Y1	Orientation	Name	Show Name	Pin Designator	Show Designator	Row	Column	Index
Pin	0mil	3600mil	180 Degrees	pin	false	B36	true	B	36	85	
Pin	0mil	3700mil	180 Degrees	pin	false	B37	true	B	37	86	
Pin	0mil	3800mil	180 Degrees	pin	false	B38	true	B	38	87	
Pin	0mil	3900mil	180 Degrees	pin	false	B39	true	B	39	88	
Pin	0mil	4000mil	180 Degrees	pin	false	B40	true	B	40	89	
Pin	0mil	4100mil	180 Degrees	pin	false	B41	true	B	41	90	
Pin	0mil	4200mil	180 Degrees	pin	false	B42	true	B	42	91	
Pin	0mil	4300mil	180 Degrees	pin	false	B43	true	B	43	92	
Pin	0mil	4400mil	180 Degrees	pin	false	B44	true	B	44	93	
Pin	0mil	4500mil	180 Degrees	pin	false	B45	true	B	45	94	
Pin	0mil	4600mil	180 Degrees	pin	false	B46	true	B	46	95	
Pin	0mil	4700mil	180 Degrees	pin	false	B47	true	B	47	96	
Pin	0mil	4800mil	180 Degrees	pin	false	B48	true	B	48	97	
Pin	0mil	4900mil	180 Degrees	pin	false	B49	true	B	49	98	
Pin	0mil	5000mil	180 Degrees	pin	false	B50	true	B	50	99	
Pin	0mil	100mil	180 Degrees	pin	false	C1	true	C	1	100	
Pin	0mil	200mil	180 Degrees	pin	false	C2	true	C	2	101	
Pin	0mil	300mil	180 Degrees	pin	false	C3	true	C	3	102	
Pin	0mil	400mil	180 Degrees	pin	false	C4	true	C	4	103	
Pin	0mil	500mil	180 Degrees	pin	false	C5	true	C	5	104	
Pin	0mil	600mil	180 Degrees	pin	false	C6	true	C	6	105	
Pin	0mil	700mil	180 Degrees	pin	false	C7	true	C	7	106	
Pin	0mil	800mil	180 Degrees	pin	false	C8	true	C	8	107	
Pin	0mil	900mil	180 Degrees	pin	false	C9	true	C	9	108	
Pin	0mil	1000mil	180 Degrees	pin	false	C10	true	C	10	109	
Pin	0mil	1100mil	180 Degrees	pin	false	C11	true	C	11	110	
Pin	0mil	1200mil	180 Degrees	pin	false	C12	true	C	12	111	
Pin	0mil	1300mil	180 Degrees	pin	false	C13	true	C	13	112	
Pin	0mil	1400mil	180 Degrees	pin	false	C14	true	C	14	113	
Pin	0mil	1500mil	180 Degrees	pin	false	C15	true	C	15	114	
Pin	0mil	1600mil	180 Degrees	pin	false	C16	true	C	16	115	
Pin	0mil	1700mil	180 Degrees	pin	false	C17	true	C	17	116	
Pin	0mil	1800mil	180 Degrees	pin	false	C18	true	C	18	117	
Pin	0mil	1900mil	180 Degrees	pin	false	C19	true	C	19	118	
