Pin Label,Pin Number
LVI,1
VFB2,2
VFB1,3
GND,4
GND,5
CT,6
VCC,7
IPKSENSE,8
DRVC,9
SWC,10
SWC,11
GND,12
GND,13
SWE,14
SWE,15
BST,16
