Pin Label,Pin Number
P3B,1
HVC/A0,2
SCL,3
SDA,4
VSS,5
P1B,6
P1W,7
P1A,8
P0A,9
P0W,10
P0B,11
NC,12
RESET_N,13
A1,14
VDD,15
P2B,16
P2W,17
P2A,18
P3A,19
P3W,20
