Pin Label,Pin Number
2Y0,1
2Y2,2
2Z,3
2Y3,4
2Y1,5
E_N,6
VEE,7
VSS,8
S2,9
S1,10
1Y3,11
1Y0,12
1Z,13
1Y1,14
1Y2,15
VDD,16
